'ip';'incident';'source'
'103.3.62.64';'CMC-2020-01';'CMC-trickbot-ip'
'104.131.84.119';'TOR-2020-03';'TOR-trickbot-ip'
'121.100.19.18';'IMG-2020-02';'IMG-trickbot-ip'
'131.161.253.190';'IMG-2020-02';'IMG-trickbot-ip'
'139.99.101.197';'CMC-2020-01';'CMC-trickbot-ip'
'139.99.101.198';'CMC-2020-01';'CMC-trickbot-ip'
'139.99.101.232';'CMC-2020-01';'CMC-trickbot-ip'
'139.99.102.70';'CMC-2020-01';'CMC-trickbot-ip'
'139.99.102.71';'CMC-2020-01';'CMC-trickbot-ip'
'139.99.102.72';'CMC-2020-01';'CMC-trickbot-ip'
'139.99.102.73';'CMC-2020-01';'CMC-trickbot-ip'
'139.99.102.74';'CMC-2020-01';'CMC-trickbot-ip'
'142.44.242.100';'CMC-2020-01';'CMC-trickbot-ip'
'142.44.243.6';'CMC-2020-01';'CMC-trickbot-ip'
'144.172.71.110';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'144.217.14.109';'CMC-2020-01';'CMC-trickbot-ip'
'144.217.14.139';'CMC-2020-01';'CMC-trickbot-ip'
'149.202.42.174';'CMC-2020-01';'CMC-trickbot-ip'
'151.80.144.188';'CMC-2020-01';'CMC-trickbot-ip'
'163.172.25.118';'TOR-2020-03';'TOR-trickbot-ip'
'164.68.120.56';'IMG-2020-02';'IMG-trickbot-ip'
'172.104.165.191';'CMC-2020-01';'CMC-trickbot-ip'
'176.9.40.131';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'178.254.44.135';'TOR-2020-03';'TOR-trickbot-ip'
'181.112.157.42';'IMG-2020-02';'IMG-trickbot-ip'
'185.100.85.150';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.13.39.197';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.222.202.222';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.228.80.23';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.41.154.130';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'185.99.2.160';'IMG-2020-02';'IMG-trickbot-ip'
'186.71.150.23';'IMG-2020-02';'IMG-trickbot-ip'
'192.42.115.102';'TOR-2020-03';'TOR-trickbot-ip'
'192.99.69.170';'CMC-2020-01';'CMC-trickbot-ip'
'194.5.250.82';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'194.87.238.87';'IMG-2020-02';'IMG-trickbot-ip'
'195.113.199.99';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'195.123.216.223';'IMG-2020-02';'IMG-trickbot-ip'
'195.123.221.53';'IMG-2020-02';'IMG-trickbot-ip'
'198.199.64.217';'TOR-2020-03';'TOR-trickbot-ip'
'198.8.91.10';'IMG-2020-02';'IMG-trickbot-ip'
'199.231.85.124';'CMC-2020-01';'CMC-trickbot-ip'
'202.29.215.114';'IMG-2020-02';'IMG-trickbot-ip'
'203.23.128.168';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'207.246.100.198';'CMC-2020-01';'CMC-trickbot-ip'
'213.239.216.222';'TOR-2020-03';'TOR-trickbot-ip'
'213.32.29.143';'CMC-2020-01';'CMC-trickbot-ip'
'213.32.74.157';'CMC-2020-01';'CMC-trickbot-ip'
'217.182.169.148';'CMC-2020-01';'CMC-trickbot-ip'
'31.184.253.37';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'3.209.29.34';'Laborie-2020-03';'Laborie-trickbot-ip'
'37.252.190.176';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'37.44.212.216';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'45.32.71.82';'CMC-2020-01';'CMC-trickbot-ip'
'45.76.65.223';'CMC-2020-01';'CMC-trickbot-ip'
'46.30.41.229';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'50.7.74.171';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.103.58.29';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.54.102';'CMC-2020-01';'CMC-trickbot-ip'
'51.15.55.100';'CMC-2020-01';'CMC-trickbot-ip'
'51.15.55.162';'CMC-2020-01';'CMC-trickbot-ip'
'51.15.58.224';'CMC-2020-01';'CMC-trickbot-ip'
'51.15.65.182';'CMC-2020-01';'CMC-trickbot-ip'
'51.15.67.17';'CMC-2020-01';'CMC-trickbot-ip'
'51.15.69.136';'CMC-2020-01';'CMC-trickbot-ip'
'51.15.7.212';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.15.78.68';'CMC-2020-01';'CMC-trickbot-ip'
'51.254.69.244';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'51.255.34.118';'CMC-2020-01';'CMC-trickbot-ip'
'51.255.34.79';'CMC-2020-01';'CMC-trickbot-ip'
'51.255.34.80';'CMC-2020-01';'CMC-trickbot-ip'
'51.255.41.65';'TOR-2020-03';'TOR-trickbot-ip'
'51.38.180.155';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.182.210.226';'IMG-2020-02';'IMG-trickbot-ip'
'5.182.210.230';'IMG-2020-02';'IMG-trickbot-ip'
'5.182.210.246';'IMG-2020-02';'IMG-trickbot-ip'
'5.196.13.29';'CMC-2020-01';'CMC-trickbot-ip'
'5.196.23.240';'CMC-2020-01';'CMC-trickbot-ip'
'5.230.22.40';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.2.75.167';'IMG-2020-02';'IMG-trickbot-ip'
'5.2.75.93';'IMG-2020-02';'IMG-trickbot-ip'
'5.2.78.43';'IMG-2020-02';'IMG-trickbot-ip'
'5.2.79.72';'IMG-2020-02';'IMG-trickbot-ip'
'5.34.176.242';'IMG-2020-02';'IMG-trickbot-ip'
'54.39.148.129';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'5.9.21.240';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'62.138.10.60';'TOR-2020-03';'TOR-trickbot-ip'
'66.42.105.146';'CMC-2020-01';'CMC-trickbot-ip'
'79.137.39.39';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'82.146.62.52';'IMG-2020-02';'IMG-trickbot-ip'
'82.94.251.227';'TOR-2020-03';'TOR-trickbot-ip'
'83.163.164.15';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'83.169.6.12';'TOR-2020-03';'TOR-trickbot-ip'
'84.40.112.70';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'85.17.172.75';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'85.204.116.237';'IMG-2020-02';'IMG-trickbot-ip'
'86.59.21.38';'TOR-2020-03';'TOR-trickbot-ip'
'88.99.216.194';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'91.132.139.170';'Plexxus-2019-10';'Plexxus-trickbot-ip'
'93.144.178.52';'Plexxus-2019-10';'Plexxus-trickbot-ip'
